subject_id	subject_category	subject_label	subject_type	predicate_id	predicate_label	object_id	object_category	object_label	object_type	mapping_justification	comment	mapping_date	author_id	author_label	reviewer_id	reviewer_label	creator_label
isam:MaterialSampleRecord	MaterialSampleRecord	MaterialSampleRecord	rdfs:Class	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/MaterialEntity	MaterialEntity	MaterialEntity	rdfs:Class	semapv:ManualMappingCuration	The individual iSamples concept encapsulates the application of both dwc concepts		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:MaterialSampleRecord	MaterialSampleRecord	MaterialSampleRecord	rdfs:Class	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/MaterialSample	MaterialSample	MaterialSample	rdfs:Class	semapv:ManualMappingCuration	The individual iSamples concept encapsulates the application of both dwc concepts		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:sample_identifier	MaterialSampleRecord	sample_identifier	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/materialSampleID	MaterialSample	materialSampleID	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:sample_identifier	MaterialSampleRecord	sample_identifier	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/materialEntityID	MaterialEntity	materialEntityID	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:label	MaterialSampleRecord	label	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/verbatimLabel	MaterialEntity	verbatimLabel	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:description	MaterialSampleRecord	description	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/associatedSequences	MaterialEntity	materialEntityRemarks	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:alternate_identifiers	MaterialSampleRecord	alternate_identifiers	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/associatedSequences	MaterialEntity	associatedSequences	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:produced_by	MaterialSampleRecord	produced_by	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#narrowMatch	narrowMatch	http://rs.tdwg.org/dwc/terms/materialEntityRemarks	MaterialEntity	materialEntityRemarks	rdf:Property	semapv:ManualMappingCuration	"The iSamples term is a more specific, contextual subtype of the object term."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:sampling_purpose	MaterialSampleRecord	sampling_purpose	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#relatedMatch	relatedMatch	http://rs.tdwg.org/dwc/terms/basisOfRecord	Record-Level	basisOfRecord	rdf:Property	semapv:ManualMappingCuration	"iSamples term refers to a specific sample, whereas object term applies to the whole record."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_context_category	MaterialSampleRecord	has_context_category	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/locationRemarks	Location	locationRemarks	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_context_category	MaterialSampleRecord	has_context_category	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/organismID	Organism	organismID	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_context_category	MaterialSampleRecord	has_context_category	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/organismName	Organism	organismName	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_context_category	MaterialSampleRecord	has_context_category	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/waterBody	Location	waterBody	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_context_category	MaterialSampleRecord	has_context_category	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/basisOfRecord	RecordLevel	basisOfRecord	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_material_category	MaterialSampleRecord	has_material_category	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/materialEntityRemarks	MaterialEntity	materialEntityRemarks	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_material_category	MaterialSampleRecord	has_material_category	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/basisOfRecord	RecordLevel	basisOfRecord	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_sample_object_type	MaterialSampleRecord	has_sample_object_type	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/preparations	MaterialEntity	preparations	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_sample_object_type	MaterialSampleRecord	has_sample_object_type	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/materialEntityRemarks	MaterialEntity	materialEntityRemarks	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_sample_object_type	MaterialSampleRecord	has_sample_object_type	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/organismName	Organism	organismName	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
